Company Name,Ticker (NSE),Category,_source,Ticker symbols,_fetched_at
NIFTY 50 ETF,NIFTY_50.NS,ETF,google_sheet,,2026-03-12 12:21:37
NIFTY Next 50 ETF,JUNIORBEES.NS,ETF,google_sheet,,2026-03-12 12:21:37
SBI Nifty 50 ETF,SETFNIF50.NS,ETF,google_sheet,,2026-03-12 12:21:37
Nippon India Nifty ETF,NIFTYBEES.NS,ETF,google_sheet,,2026-03-12 12:21:37
Motilal Oswal Nasdaq 100 ETF,MON100.NS,ETF,google_sheet,,2026-03-12 12:21:37
Motilal Oswal S&P 500 ETF,MASP500.NS,ETF,google_sheet,,2026-03-12 12:21:37
NIFTY Bank ETF,BANKBEES.NS,ETF,google_sheet,,2026-03-12 12:21:37
NIFTY Auto,AUTOBEES.NS,ETF,google_sheet,,2026-03-12 12:21:37
NiFTY Realty,NIFTY_REALTY.NS,ETF,google_sheet,,2026-03-12 12:21:37
Nippon NIFTY Infrastructure ETF,INFRABEES.NS,ETF,google_sheet,,2026-03-12 12:21:37
Global X Artificial Intelligence & Technology ETF,AIQ.NS,ETF,google_sheet,,2026-03-12 12:21:37
First Trust Nasdaq Artificial Intelligence & Robotics ETF,ROBT.NS,ETF,google_sheet,,2026-03-12 12:21:37
Global X Data Center & Digital Infrastructure ETF,DTCR.NS,ETF,google_sheet,,2026-03-12 12:21:37
