Company Name,Ticker (NSE),Category,_source,Ticker symbols,_fetched_at
NIFTY 50 ETF,NIFTY_50.NS,ETF,google_sheet,,2026-03-12 12:36:42
NIFTY Next 50 ETF,JUNIORBEES.NS,ETF,google_sheet,,2026-03-12 12:36:42
SBI Nifty 50 ETF,SETFNIF50.NS,ETF,google_sheet,,2026-03-12 12:36:42
Nippon India Nifty ETF,NIFTYBEES.NS,ETF,google_sheet,,2026-03-12 12:36:42
Motilal Oswal Nasdaq 100 ETF,MON100.NS,ETF,google_sheet,,2026-03-12 12:36:42
Motilal Oswal S&P 500 ETF,MASP500.NS,ETF,google_sheet,,2026-03-12 12:36:42
NIFTY Bank ETF,BANKBEES.NS,ETF,google_sheet,,2026-03-12 12:36:42
NIFTY Auto,AUTOBEES.NS,ETF,google_sheet,,2026-03-12 12:36:42
NiFTY Realty,NIFTY_REALTY.NS,ETF,google_sheet,,2026-03-12 12:36:42
Nippon NIFTY Infrastructure ETF,INFRABEES.NS,ETF,google_sheet,,2026-03-12 12:36:42
Global X Artificial Intelligence & Technology ETF,AIQ.NS,ETF,google_sheet,,2026-03-12 12:36:42
First Trust Nasdaq Artificial Intelligence & Robotics ETF,ROBT.NS,ETF,google_sheet,,2026-03-12 12:36:42
Global X Data Center & Digital Infrastructure ETF,DTCR.NS,ETF,google_sheet,,2026-03-12 12:36:42
